,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit
0,perkins restaurant and bakery,55 plus brioche french toast breakfast,31,g,290,mg,710,g,63,g,26,g,10,g,0,g,2,g,16,g
1,perkins restaurant and bakery,55 plus build your own omelet 2 large fresh eggs,13,g,430,mg,130,g,2,g,12,g,3.5,g,0,g,0,g,0,g
2,perkins restaurant and bakery,55 plus build your own omelet applewood smoked bacon,3,g,10,mg,125,g,0,g,2,g,1,g,0,g,0,g,0,g
3,perkins restaurant and bakery,55 plus build your own omelet avocado,9,g,0,mg,0,g,6,g,2,g,1,g,0,g,2,g,0,g
4,perkins restaurant and bakery,55 plus build your own omelet chorizo sausage,14,g,30,mg,310,g,1,g,8,g,5,g,0,g,0,g,0,g
5,perkins restaurant and bakery,55 plus build your own omelet diced ham,6,g,10,mg,270,g,1,g,4,g,2,g,0,g,0,g,1,g
6,perkins restaurant and bakery,55 plus build your own omelet diced tomatoes,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,1,g
7,perkins restaurant and bakery,55 plus build your own omelet fresh mushrooms,0,g,0,mg,0,g,1,g,1,g,0,g,0,g,1,g,1,g
8,perkins restaurant and bakery,55 plus build your own omelet fresh spinach,0,g,0,mg,20,g,1,g,1,g,0,g,0,g,1,g,0,g
9,perkins restaurant and bakery,55 plus build your own omelet green peppers,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,1,g,1,g
10,perkins restaurant and bakery,55 plus build your own omelet hollandaise sauce,8,g,15,mg,440,g,9,g,1,g,5,g,0,g,0,g,2,g
11,perkins restaurant and bakery,55 plus build your own omelet pork sausage,21,g,0,mg,240,g,1,g,6,g,8,g,0,g,0,g,0,g
12,perkins restaurant and bakery,55 plus build your own omelet shredded american cheese,9,g,30,mg,160,g,1,g,7,g,5,g,0,g,0,g,0,g
13,perkins restaurant and bakery,55 plus build your own omelet shredded mild cheddar cheese,9,g,30,mg,180,g,1,g,7,g,5,g,0,g,0,g,0,g
14,perkins restaurant and bakery,55 plus build your own omelet shredded pepper jack cheese,8,g,30,mg,170,g,1,g,7,g,5,g,0,g,0,g,0,g
15,perkins restaurant and bakery,55 plus build your own omelet swiss cheese,8,g,25,mg,110,g,1,g,7,g,5,g,0,g,0,g,0,g
16,perkins restaurant and bakery,55 plus build your own omelet turkey sausage,10,g,35,mg,190,g,1,g,6,g,2.5,g,0,g,0,g,0,g
17,perkins restaurant and bakery,55 plus build your own omelet yellow onions,0,g,0,mg,0,g,3,g,0,g,0,g,0,g,0,g,1,g
18,perkins restaurant and bakery,55 plus buttermilk pancake breakfast,26,g,55,mg,1700,g,66,g,8,g,7,g,0,g,0,g,12,g
19,perkins restaurant and bakery,55 plus continental,15,g,10,mg,180,g,57,g,8,g,5,g,0,g,4,g,32,g
20,perkins restaurant and bakery,55 plus egg benedict,30,g,240,mg,940,g,40,g,16,g,9,g,0,g,3,g,18,g
21,perkins restaurant and bakery,55 plus egg classic,15,g,215,mg,65,g,1,g,6,g,3,g,0,g,0,g,0,g
22,perkins restaurant and bakery,55 plus egg omelete,13,g,430,mg,130,g,2,g,12,g,3.5,g,0,g,0,g,0,g
23,perkins restaurant and bakery,55 plus egg traveler,8,g,215,mg,65,g,1,g,6,g,2,g,0,g,0,g,0,g
24,perkins restaurant and bakery,55 plus french toast breakfast,23,g,275,mg,660,g,51,g,19,g,6,g,0,g,2,g,8,g
25,perkins restaurant and bakery,55 plus lunch and dinner cheeseburger,39,g,110,mg,860,g,41,g,32,g,12,g,1.5,g,1,g,8,g
26,perkins restaurant and bakery,55 plus lunch and dinner chicken strips dinner,43,g,150,mg,2110,g,59,g,44,g,12,g,0,g,0,g,11,g
27,perkins restaurant and bakery,55 plus lunch and dinner classic pot roast dinner,31,g,160,mg,1270,g,16,g,54,g,11,g,0,g,3,g,4,g
28,perkins restaurant and bakery,55 plus lunch and dinner country fried steak,32,g,85,mg,1810,g,45,g,27,g,10,g,0.5,g,2,g,2,g
29,perkins restaurant and bakery,55 plus lunch and dinner grilled chicken breast,8,g,95,mg,790,g,0,g,32,g,1.5,g,0,g,0,g,0,g
30,perkins restaurant and bakery,55 plus lunch and dinner hamburger,32,g,90,mg,560,g,40,g,27,g,8,g,1.5,g,1,g,7,g
31,perkins restaurant and bakery,55 plus lunch and dinner pork chop dinner,32,g,160,mg,1680,g,8,g,58,g,11,g,0,g,1,g,6,g
32,perkins restaurant and bakery,55 plus lunch and dinner tilapia grille dinner,18,g,105,mg,420,g,9,g,42,g,3.5,g,0,g,0,g,6,g
33,perkins restaurant and bakery,55 plus lunch and dinner turkey and dressing dinner,20,g,90,mg,1740,g,21,g,38,g,3.5,g,0,g,2,g,14,g
34,perkins restaurant and bakery,55 plus potato pancakes,41,g,135,mg,1310,g,46,g,15,g,12,g,0,g,3,g,10,g
35,perkins restaurant and bakery,55 plus strawberry topping,0,g,0,mg,60,g,46,g,0,g,0,g,0,g,2,g,39,g
36,perkins restaurant and bakery,add on 4 breaded and fried fantail shrimp,7,g,65,mg,1060,g,41,g,10,g,2,g,0,g,1,g,12,g
37,perkins restaurant and bakery,add on crimini mushrooms,3.5,g,0,mg,0,g,3,g,2,g,0.5,g,0,g,1,g,1,g
38,perkins restaurant and bakery,alaskan amber,0,g,0,mg,0,g,20,g,0,g,0,g,0,g,0,g,0,g
39,perkins restaurant and bakery,alexander keiths,0,g,0,mg,0,g,11,g,0,g,0,g,0,g,0,g,0,g
40,perkins restaurant and bakery,all american,21,g,445,mg,840,g,24,g,19,g,7,g,0,g,2,g,1,g
