,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,pizza hut,original pan medium 12 cheese only pizza,10,g,25,mg,450,g,28,g,11,g,4.5,g,0,g,2,g,1,g,,
1,pizza hut,original pan medium 12 supreme pizza,13,g,25,mg,500,g,29,g,11,g,5,g,0,g,2,g,2,g,,
2,pizza hut,personal pan 6 chicken bacon parmesan pizza,8,g,20,mg,350,g,17,g,9,g,3,g,0,g,1,g,2,g,,
3,pizza hut,pzone meaty with marinara sauce,50,g,120,mg,2270,g,124,g,50,g,21,g,1,g,9,g,9,g,,
4,pizza hut,thin n crispy large 14 buffalo chicken pizza,8,g,30,mg,810,g,33,g,13,g,4,g,0,g,2,g,4,g,,
5,pizza hut,original stuffed crust large 14 buffalo chicken pizza,11,g,40,mg,870,g,39,g,15,g,6,g,0,g,2,g,2,g,,
6,pizza hut,hand tossed large 14 ultimate cheese lovers pizza,13,g,35,mg,540,g,33,g,15,g,6,g,0,g,2,g,1,g,,
7,pizza hut,extra large 18 supreme pizza,16,g,45,mg,860,g,52,g,19,g,7,g,0,g,4,g,4,g,,
8,pizza hut,hand tossed medium 12 veggie lovers pizza,6,g,15,mg,370,g,27,g,8,g,2.5,g,0,g,2,g,2,g,,
9,pizza hut,thin n crispy medium 12 meat lovers pizza,14,g,35,mg,630,g,22,g,12,g,6,g,0,g,2,g,3,g,,
10,pizza hut,regional rectangle american chicken club pizza,15,g,25,mg,510,g,30,g,11,g,4.5,g,0,g,2,g,2,g,,
11,pizza hut,regional medium pan bbq beef pizza,12,g,25,mg,540,g,31,g,12,g,4.5,g,0,g,2,g,4,g,,
12,pizza hut,rectangle buffalo chicken pizza,8,g,20,mg,630,g,32,g,10,g,3,g,0,g,2,g,1,g,,
13,pizza hut,thin n crispy small 10 ultimate cheese lovers pizza,6,g,15,mg,270,g,13,g,6,g,2.5,g,0,g,0.5,g,1,g,,
14,pizza hut,regional personal pan bacon cheeseburger pizza,10,g,25,mg,440,g,17,g,8,g,4,g,0,g,1,g,2,g,,
15,pizza hut,regional large hand tossed beef fiesta taco pizza,15,g,30,mg,670,g,42,g,14,g,6,g,0,g,4,g,2,g,,
16,pizza hut,regional small thin n crispy super supreme pizza,8,g,20,mg,390,g,14,g,7,g,3,g,0,g,1,g,2,g,,
17,pizza hut,thin n crispy large 14 hawaiian chicken pizza,8,g,30,mg,640,g,31,g,14,g,4,g,0,g,3,g,6,g,,
18,pizza hut,creamy italian dressing for entree salad,37,g,0,mg,910,g,4,g,0,g,6,g,0,g,0.5,g,3,g,,
19,pizza hut,ranch dressing for entree salads,23,g,15,mg,570,g,4,g,2,g,3.5,g,0,g,0,g,4,g,,
20,pizza hut,blue cheese dressing for entree salad,48,g,40,mg,500,g,3,g,2,g,8,g,0,g,0,g,1,g,,
21,pizza hut,french dressing for entree salads,23,g,0,mg,650,g,29,g,0,g,3.5,g,0,g,0,g,24,g,,
