,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
0,starbucks,caramel brulee latte with coconut milk and whip venti,14,g,25,mg,270,g,79,g,4,g,11,g,0,g,0,g,59,g,,
1,starbucks,caramel brulee latte with nonfat milk and no whip grande,0,g,5,mg,240,g,67,g,12,g,0,g,0,g,0,g,51,g,,
2,starbucks,caramel brulee latte with nonfat milk and no whip short,0,g,5,mg,120,g,33,g,6,g,0,g,0,g,0,g,25,g,,
3,starbucks,caramel brulee latte with nonfat milk and no whip tall,0,g,5,mg,180,g,50,g,10,g,0,g,0,g,0,g,39,g,,
4,starbucks,caramel brulee latte with nonfat milk and no whip venti,0.5,g,10,mg,300,g,84,g,16,g,0,g,0,g,0,g,65,g,,
5,starbucks,caramel brulee latte with nonfat milk and whip grande,7,g,30,mg,240,g,71,g,13,g,4.5,g,0,g,0,g,54,g,,
6,starbucks,caramel brulee latte with nonfat milk and whip short,5,g,20,mg,125,g,36,g,6,g,3.5,g,0,g,0,g,28,g,,
7,starbucks,caramel brulee latte with nonfat milk and whip tall,6,g,30,mg,190,g,54,g,10,g,4,g,0,g,0,g,42,g,,
8,starbucks,caramel brulee latte with nonfat milk and whip venti,8,g,35,mg,310,g,88,g,16,g,5,g,0,g,0,g,68,g,,
9,starbucks,caramel brulee latte with soy milk and no whip grande,4.5,g,0,mg,220,g,70,g,10,g,0.5,g,0,g,1,g,51,g,,
10,starbucks,caramel brulee latte with soy milk and no whip short,2.5,g,0,mg,110,g,35,g,5,g,0,g,0,g,1,g,26,g,,
11,starbucks,caramel brulee latte with soy milk and no whip tall,4,g,0,mg,170,g,53,g,8,g,0.5,g,0,g,1,g,39,g,,
12,starbucks,caramel brulee latte with soy milk and no whip venti,6,g,0,mg,280,g,88,g,13,g,1,g,0,g,1,g,65,g,,
13,starbucks,caramel brulee latte with soy milk and whip grande,12,g,25,mg,230,g,74,g,11,g,5,g,0,g,1,g,54,g,,
14,starbucks,caramel brulee latte with soy milk and whip short,7,g,20,mg,115,g,38,g,5,g,3.5,g,0,g,1,g,28,g,,
15,starbucks,caramel brulee latte with soy milk and whip tall,10,g,25,mg,180,g,57,g,8,g,4.5,g,0,g,1,g,42,g,,
16,starbucks,caramel brulee latte with soy milk and whip venti,13,g,25,mg,290,g,92,g,14,g,5,g,0,g,1,g,68,g,,
17,starbucks,caramel brulee latte with whole milk and no whip grande,10,g,30,mg,240,g,66,g,12,g,6,g,0,g,0,g,51,g,,
18,starbucks,caramel brulee latte with whole milk and no whip short,5,g,15,mg,120,g,33,g,6,g,3,g,0,g,0,g,25,g,,
19,starbucks,caramel brulee latte with whole milk and no whip tall,8,g,25,mg,190,g,50,g,9,g,4.5,g,0,g,0,g,39,g,,
20,starbucks,caramel brulee latte with whole milk and no whip venti,13,g,40,mg,310,g,83,g,15,g,7,g,0,g,0,g,64,g,,
21,starbucks,caramel brulee latte with whole milk and whip grande,17,g,55,mg,250,g,70,g,12,g,10,g,0,g,0,g,54,g,,
22,starbucks,caramel brulee latte with whole milk and whip short,10,g,35,mg,125,g,36,g,6,g,6,g,0,g,0,g,28,g,,
23,starbucks,caramel brulee latte with whole milk and whip tall,14,g,45,mg,190,g,54,g,10,g,8,g,0,g,0,g,42,g,,
24,starbucks,caramel brulee latte with whole milk and whip venti,20,g,65,mg,320,g,87,g,16,g,12,g,0.5,g,0,g,68,g,,
25,starbucks,caramel frappuccino light grande,0,g,0,mg,190,g,30,g,3,g,0,g,0,g,0,g,29,g,,
26,starbucks,caramel frappuccino light tall,0,g,0,mg,150,g,22,g,3,g,0,g,0,g,0,g,22,g,,
27,starbucks,caramel frappuccino light venti,0,g,5,mg,260,g,40,g,5,g,0,g,0,g,0,g,40,g,,
28,starbucks,caramel frappuccino with 2 milk and no whip grande,2,g,10,mg,230,g,60,g,4,g,1.5,g,0,g,0,g,60,g,,
29,starbucks,caramel frappuccino with 2 milk and no whip tall,1.5,g,5,mg,170,g,42,g,3,g,1,g,0,g,0,g,42,g,,
30,starbucks,caramel frappuccino with 2 milk and no whip venti,3,g,10,mg,310,g,78,g,5,g,2,g,0,g,0,g,78,g,,
31,starbucks,caramel frappuccino with 2 milk and whip grande,14,g,50,mg,250,g,67,g,4,g,9,g,0,g,0,g,66,g,,
32,starbucks,caramel frappuccino with 2 milk and whip tall,10,g,40,mg,180,g,47,g,3,g,6,g,0,g,0,g,46,g,,
33,starbucks,caramel frappuccino with 2 milk and whip venti,15,g,55,mg,330,g,85,g,6,g,9,g,0,g,0,g,84,g,,
34,starbucks,caramel frappuccino with almond milk and no whip grande,1.5,g,0,mg,230,g,57,g,1,g,0,g,0,g,1,g,56,g,,
35,starbucks,caramel frappuccino with almond milk and no whip tall,1.5,g,0,mg,160,g,40,g,1,g,0,g,0,g,0,g,39,g,,
36,starbucks,caramel frappuccino with almond milk and no whip venti,2.5,g,0,mg,300,g,74,g,1,g,0,g,0,g,1,g,73,g,,
37,starbucks,caramel frappuccino with almond milk and whip grande,14,g,45,mg,250,g,64,g,2,g,8,g,0,g,1,g,62,g,,
38,starbucks,caramel frappuccino with almond milk and whip tall,10,g,30,mg,180,g,45,g,1,g,5,g,0,g,0,g,44,g,,
39,starbucks,caramel frappuccino with almond milk and whip venti,14,g,45,mg,320,g,81,g,2,g,8,g,0,g,1,g,79,g,,
40,starbucks,caramel frappuccino with coconut milk and no whip grande,2,g,0,mg,220,g,59,g,0,g,2,g,0,g,0,g,58,g,,
41,starbucks,caramel frappuccino with coconut milk and no whip tall,2,g,0,mg,160,g,41,g,0,g,1.5,g,0,g,0,g,40,g,,
42,starbucks,caramel frappuccino with coconut milk and no whip venti,3.5,g,0,mg,300,g,76,g,1,g,3,g,0,g,0,g,75,g,,
43,starbucks,caramel frappuccino with coconut milk and whip grande,14,g,45,mg,240,g,65,g,1,g,10,g,0,g,0,g,64,g,,
44,starbucks,caramel frappuccino with coconut milk and whip tall,10,g,30,mg,170,g,46,g,1,g,7,g,0,g,0,g,45,g,,
45,starbucks,caramel frappuccino with coconut milk and whip venti,15,g,45,mg,320,g,83,g,1,g,11,g,0,g,0,g,81,g,,
