,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
0,caseys general store,cheese breadsticks,41,g,45,mg,1530,g,90,g,32,g,11,g,0,g,5,g,5,g,,,,
1,caseys general store,cheese sauce cup,4.5,g,5,mg,350,g,6,g,1,g,1.5,g,0,g,0,g,0,g,,,,
2,caseys general store,chef salad,23,g,90,mg,1800,g,12,g,29,g,11,g,0.5,g,3,g,8,g,,,,
3,caseys general store,cherry cake donut,22,g,15,mg,400,g,31,g,3,g,10,g,0,g,1,g,12,g,,,,
4,caseys general store,cherry freeze,0,g,0,mg,15,g,16,g,0,g,0,g,0,g,0,g,16,g,,,,
5,caseys general store,chicken bacon ranch pizza flatbread,13,g,35,mg,430,g,9,g,10,g,5,g,0,g,0,g,1,g,,,,
6,caseys general store,chicken bacon ranch pizza gluten free,18,g,40,mg,580,g,16,g,11,g,6,g,0,g,1,g,3,g,,,,
7,caseys general store,chicken bacon ranch pizza large,17,g,45,mg,690,g,33,g,16,g,6,g,0,g,1,g,4,g,,,,
8,caseys general store,chicken bacon ranch pizza medium,24,g,60,mg,960,g,47,g,21,g,8,g,0,g,1,g,5,g,,,,
9,caseys general store,chicken bacon ranch pizza small,17,g,40,mg,620,g,29,g,13,g,6,g,0,g,1,g,3,g,,,,
10,caseys general store,chicken quesadilla pizza flatbread,8,g,30,mg,270,g,7,g,8,g,4,g,0,g,0,g,1,g,,,,
11,caseys general store,chicken quesadilla pizza gluten free,12,g,35,mg,520,g,22,g,12,g,6,g,0,g,1,g,2,g,,,,
12,caseys general store,chicken quesadilla pizza large,11,g,40,mg,570,g,34,g,14,g,5,g,0,g,1,g,4,g,,,,
13,caseys general store,chicken quesadilla pizza medium,15,g,50,mg,790,g,48,g,19,g,7,g,0,g,2,g,5,g,,,,
14,caseys general store,chicken quesadilla pizza small,10,g,35,mg,510,g,30,g,13,g,5,g,0,g,1,g,3,g,,,,
15,caseys general store,chicken salad croissant,47,g,55,mg,660,g,49,g,19,g,11,g,0.5,g,2,g,11,g,,,,
16,caseys general store,chicken tenders 12 count,42,g,330,mg,4140,g,108,g,126,g,6,g,0,g,6,g,6,g,,,,
17,caseys general store,chicken tenders 24 count,84,g,660,mg,8280,g,216,g,252,g,12,g,0,g,12,g,12,g,,,,
18,caseys general store,chicken tenders 36 count,126,g,990,mg,12420,g,324,g,378,g,18,g,0,g,18,g,18,g,,,,
19,caseys general store,chicken tenders 4 count,14,g,110,mg,1380,g,36,g,42,g,2,g,0,g,2,g,2,g,,,,
20,caseys general store,chipotle mayo,20,g,10,mg,240,g,2,g,0,g,3,g,0,g,0,g,0,g,,,,
21,caseys general store,chocolate cake donut,14,g,20,mg,290,g,23,g,3,g,6,g,0,g,1,g,9,g,,,,
22,caseys general store,chocolate chunk cookie,16,g,20,mg,200,g,42,g,3,g,9,g,0,g,2,g,23,g,,,,
23,caseys general store,chocolate ice cream,6,g,20,mg,95,g,21,g,3,g,4,g,0,g,1,g,16,g,,,,
24,caseys general store,chocolate icing a,0,g,0,mg,15,g,11,g,0,g,0,g,0,g,0,g,11,g,,,,
25,caseys general store,chocolate icing th,0,g,0,mg,15,g,10,g,0,g,0,g,0,g,0,g,9,g,,,,
26,caseys general store,cinnamon roll,6,g,5,mg,290,g,57,g,7,g,1.5,g,0,g,2,g,15,g,,,,
27,caseys general store,cinnamon sugar,0,g,0,mg,0,g,6,g,0,g,0,g,0,g,0,g,6,g,,,,
28,caseys general store,coca cola freeze,0,g,0,mg,10,g,18,g,0,g,0,g,0,g,0,g,18,g,,,,
29,caseys general store,cocoa supreme,2,g,0,mg,170,g,24,g,3,g,1.5,g,0,g,1,g,21,g,,,,
30,caseys general store,coconut,3.5,g,0,mg,0,g,7,g,0,g,0,g,0,g,0,g,7,g,,,,
31,caseys general store,coffee,0,g,0,mg,0,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
32,caseys general store,coke,0,g,0,mg,25,g,29,g,0,g,0,g,0,g,0,g,29,g,,,,
33,caseys general store,coke zero,0,g,0,mg,30,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
34,caseys general store,country french dressing,16,g,0,mg,300,g,13,g,0,g,2.5,g,0,g,0,g,12,g,,,,
35,caseys general store,cranberry almond chicken salad croissant limited time only,46,g,50,mg,670,g,58,g,17,g,11,g,0.5,g,4,g,17,g,,,,
36,caseys general store,cream cheese icing,0.5,g,0,mg,15,g,11,g,0,g,0.5,g,0,g,0,g,11,g,,,,
37,caseys general store,crispy chicken sandwich,13,g,50,mg,1000,g,40,g,25,g,2,g,0,g,1,g,3,g,,,,
38,caseys general store,croutons,11,g,35,mg,710,g,1,g,9,g,4,g,0,g,0,g,0,g,,,,
39,caseys general store,crushed red pepper,0,g,0,mg,0,g,1,g,0,g,0,g,0,g,0,g,0,g,,,,
40,caseys general store,diet coke,0,g,0,mg,35,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
41,caseys general store,diet dr pepper,0,g,0,mg,50,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
42,caseys general store,diet mtn dew,0,g,0,mg,35,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
43,caseys general store,diet pepsi,0,g,0,mg,40,g,0,g,0,g,0,g,0,g,0,g,0,g,,,,
44,caseys general store,double fudge cookie,13,g,10,mg,260,g,42,g,4,g,7,g,0,g,2,g,27,g,,,,
45,caseys general store,dr pepper,0,g,0,mg,30,g,26,g,0,g,0,g,0,g,0,g,26,g,,,,
46,caseys general store,dr pepper freeze,0,g,0,mg,25,g,19,g,0,g,0,g,0,g,0,g,18,g,,,,
47,caseys general store,egg white breakfast sandwich,10,g,55,mg,680,g,19,g,20,g,3.5,g,0,g,4,g,2,g,,,,
48,caseys general store,english toffee cappuccino,3.5,g,0,mg,90,g,19,g,1,g,3,g,0,g,0,g,14,g,,,,
49,caseys general store,fall sprinkles,0.5,g,0,mg,0,g,3,g,0,g,0.5,g,0,g,0,g,3,g,,,,
50,caseys general store,fat free french vanilla cappuccino,0,g,0,mg,125,g,22,g,1,g,0,g,0,g,0,g,16,g,,,,
51,caseys general store,french toast twist donut,14,g,0,mg,310,g,27,g,4,g,7,g,0,g,1,g,4,g,,,,
52,caseys general store,french vanilla cappuccino,3,g,0,mg,115,g,20,g,1,g,3,g,0,g,0,g,14,g,,,,
53,caseys general store,french vanilla cream,1.5,g,0,mg,0,g,6,g,0,g,1,g,0,g,0,g,6,g,,,,
54,caseys general store,french vanilla syrup,0,g,0,mg,0,g,18,g,0,g,0,g,0,g,0,g,18,g,,,,
55,caseys general store,french vanilla single,1.5,g,0,mg,0,g,3,g,0,g,1.5,g,0,g,0,g,3,g,,,,
56,caseys general store,fried cinnamon bun donut,15,g,0,mg,320,g,30,g,5,g,7,g,0,g,1,g,3,g,,,,
